qa_id,question_asker_intent_understanding,question_body_critical,question_conversational,question_expect_short_answer,question_fact_seeking,question_has_commonly_accepted_answer,question_interestingness_others,question_interestingness_self,question_multi_intent,question_not_really_a_question,question_opinion_seeking,question_type_choice,question_type_compare,question_type_consequence,question_type_definition,question_type_entity,question_type_instructions,question_type_procedure,question_type_reason_explanation,question_type_spelling,question_well_written,answer_helpful,answer_level_of_information,answer_plausible,answer_relevance,answer_satisfaction,answer_type_instructions,answer_type_procedure,answer_type_reason_explanation,answer_well_written
39,2.528947353363037,0.48811784386634827,-2.003037452697754,-0.14342555403709412,0.7164905667304993,0.20633406937122345,0.6793469190597534,0.5400870442390442,0.8414932489395142,-5.208434581756592,0.7673777341842651,0.7443156838417053,-2.9769272804260254,-3.3826262950897217,-4.649428367614746,-3.7695343494415283,-1.6260986328125,-1.7843914031982422,1.093418002128601,-5.607755184173584,2.25494384765625,2.3818199634552,0.6394005417823792,3.2607853412628174,3.3021864891052246,1.5352060794830322,-1.9060338735580444,-2.0922908782958984,1.6272459030151367,2.519209384918213
46,1.9233512878417969,0.2234501838684082,-4.950479030609131,1.260703444480896,1.6238151788711548,2.5174171924591064,0.18547233939170837,-0.23836807906627655,-1.2250077724456787,-5.3248138427734375,-0.4982663691043854,0.6564866900444031,-4.492304801940918,-5.273492813110352,-5.517276763916016,-3.9020984172821045,1.410217046737671,-1.4011390209197998,-1.8814303874969482,-6.305996894836426,1.1804771423339844,2.7007412910461426,0.5639317035675049,3.209110975265503,3.616049289703369,1.8408340215682983,1.8024581670761108,-1.722373366355896,-1.8223717212677002,2.0707805156707764
70,2.171877384185791,0.4256415367126465,-3.9457545280456543,1.069342851638794,2.2976279258728027,2.535937786102295,0.4607602655887604,0.06161067634820938,-0.22549501061439514,-5.511833190917969,-1.2131415605545044,0.873926043510437,-3.5458877086639404,-3.9247398376464844,-4.586587429046631,-4.144606590270996,-1.754820466041565,-2.3167173862457275,1.270260214805603,-5.995546817779541,1.657503366470337,2.649054527282715,0.647387683391571,3.444368839263916,3.6168930530548096,1.8393347263336182,-1.8059648275375366,-2.297372817993164,2.137998342514038,2.4895477294921875
132,1.9060842990875244,-0.05586213991045952,-4.715023994445801,1.106014609336853,1.2156932353973389,2.2811191082000732,0.1715458333492279,-0.31627538800239563,-2.4771487712860107,-5.350381374359131,-0.09055070579051971,-3.469905376434326,-5.318329811096191,-5.592224597930908,-5.830723762512207,-4.714197635650635,1.5656163692474365,-1.4937629699707031,0.11839123070240021,-6.6786208152771,0.8975988626480103,2.7731127738952637,0.6409768462181091,3.4394638538360596,3.8048195838928223,1.9524341821670532,1.3090811967849731,-1.7970092296600342,0.35841792821884155,2.209848403930664
200,2.2532105445861816,-0.07466020435094833,-3.4982285499572754,1.2881548404693604,0.8621991872787476,1.2631864547729492,0.44303473830223083,0.15645961463451385,-1.934473991394043,-5.352391719818115,0.41379767656326294,-1.4463030099868774,-4.13524866104126,-4.963586330413818,-5.187518119812012,-3.480156421661377,-0.4995156228542328,-1.9779469966888428,0.17126354575157166,-6.46026611328125,1.1148412227630615,2.5489890575408936,0.7093459367752075,3.396550416946411,3.5613436698913574,1.7767082452774048,-0.9850555658340454,-2.111292839050293,1.2956593036651611,2.564345121383667
245,2.5073227882385254,1.0413439273834229,-3.4221909046173096,0.32539305090904236,2.714538812637329,1.8782908916473389,0.5673920512199402,0.21086382865905762,-0.569153904914856,-5.266528129577637,-1.9045512676239014,-3.198029041290283,-3.2368130683898926,-4.1896653175354,-2.989760637283325,-2.5417301654815674,-2.3656585216522217,-1.9971344470977783,1.394547462463379,-5.682718753814697,2.098759412765503,2.4837687015533447,0.7356821298599243,3.0121662616729736,3.3877124786376953,1.7967584133148193,-2.6384057998657227,-2.1941897869110107,1.9731172323226929,2.446939706802368
257,1.9908664226531982,0.16367527842521667,-4.977701187133789,1.0739977359771729,1.401929497718811,2.3607234954833984,0.19194035232067108,-0.3650584816932678,-2.064685583114624,-5.762505531311035,-0.2712547183036804,-2.499225616455078,-5.171359062194824,-5.754895210266113,-6.088464260101318,-4.553076267242432,1.8778553009033203,-1.2098276615142822,-1.1068886518478394,-6.984116554260254,1.0788146257400513,2.953435182571411,0.7607658505439758,3.5867366790771484,3.8930397033691406,2.0745277404785156,1.1714485883712769,-1.5417779684066772,0.4636521339416504,2.385322332382202
267,2.827723741531372,1.1453211307525635,-1.7596569061279297,0.9708610773086548,1.3459590673446655,1.045276165008545,0.6738765239715576,0.6835471391677856,-1.5154318809509277,-5.296449661254883,-0.25842779874801636,-1.4226917028427124,-3.167487621307373,-3.886603593826294,-2.8333816528320312,-3.7933342456817627,-3.934856414794922,-3.4552791118621826,2.218050479888916,-5.648045539855957,2.2674999237060547,2.704690456390381,0.8574577569961548,3.433208465576172,3.7391180992126465,1.9767735004425049,-3.7608649730682373,-3.5210793018341064,2.684821367263794,2.6125149726867676
284,1.4857172966003418,-0.4066588878631592,-5.020280361175537,1.1105083227157593,1.381204605102539,2.531571865081787,0.0524325855076313,-0.4829646050930023,-2.2628161907196045,-5.252224922180176,-0.25078296661376953,-2.599931478500366,-5.048837184906006,-5.472165107727051,-5.69513463973999,-4.799161434173584,1.3671430349349976,-1.3953193426132202,0.07675892859697342,-6.6079254150390625,0.5358902215957642,2.8425886631011963,0.7428041696548462,3.4004218578338623,3.8710079193115234,2.048269271850586,1.2686173915863037,-1.6278120279312134,0.6417644023895264,2.221008777618408
292,2.2311692237854004,0.49864426255226135,-4.443971633911133,1.4518672227859497,2.2197489738464355,2.615058183670044,0.4074365198612213,-0.04907480999827385,-1.7657995223999023,-5.568093776702881,-1.3053795099258423,-2.955585479736328,-4.744510650634766,-5.069525718688965,-4.603561878204346,-3.7330162525177,-0.7140120267868042,-2.2122416496276855,1.4101746082305908,-6.514365196228027,1.4043951034545898,2.624478816986084,0.6290168762207031,3.3669915199279785,3.7348473072052,1.9656703472137451,-0.8598088026046753,-2.3754913806915283,1.5819075107574463,2.3252785205841064
